shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
24,DorsAttn,26,0.3655008312140225,0.004451668406707166,5.9040262086413995e-06,5.289931466031318e-06,0.0004972557683579772
24,SalVentAttn,22,0.4148387591953611,0.0026574117713226834,4.536712144461985e-06,5.116312462825372e-06,0.00044281703710556187
24,Limbic,12,0.362827012181149,0.002816534873163698,5.4986743359759075e-06,5.190438682776173e-06,0.00048658029146115563
24,Cont,30,0.4074315906711104,0.004161614413912986,4.941587124215338e-06,5.111583822811997e-06,0.00045666150072295607
24,Default,46,0.370401129636831,0.005357504652629044,6.219225040510967e-06,6.5208072547533136e-06,0.0005811759402940984
25,Vis,29,0.40892417189288854,0.004126736342531487,5.485759395517649e-06,5.333105349168752e-06,0.0004946035010008428
25,SomMot,35,0.48433254101041284,0.0026666410664555698,4.000344188694963e-06,3.2289623370745414e-06,0.00031985686117915705
25,DorsAttn,26,0.42519877341110024,0.0031595024912114667,4.719699192134345e-06,4.897178870958006e-06,0.000439920551804738
25,SalVentAttn,22,0.44969222953072396,0.003754349108497193,4.568824897208905e-06,4.351663191663364e-06,0.0004045650700697063
25,Limbic,12,0.42802628138563703,0.005002181477837208,8.188935852481671e-06,4.810377540650091e-06,0.0005488154002658688
25,Cont,30,0.3917666393092321,0.0042552402504381975,5.100434673875108e-06,5.243187833963286e-06,0.00047021453637785337
25,Default,46,0.4475951868455504,0.005398717747126409,6.669093366474585e-06,7.719980376185912e-06,0.0006554619026746677
26,Vis,29,0.266224916607495,0.0033850143831382633,4.539141786135502e-06,7.246923565306123e-06,0.0005180951992183676
26,SomMot,35,0.3317215548665116,0.001777366818605389,3.6436600384426603e-06,3.7632636871539136e-06,0.0003354917687881127
26,DorsAttn,26,0.3148334014067248,0.003089453920176402,5.195670456085721e-06,5.434705309289158e-06,0.00048233650609226975
26,SalVentAttn,22,0.3310089555626981,0.0017682813013940241,3.7900504755571067e-06,5.022232395137432e-06,0.000403246967388738
26,Limbic,12,0.29819085383885124,0.0021439470093928743,5.827210417900786e-06,4.896172366401839e-06,0.00043914050121978033
26,Cont,30,0.286853662730646,0.003271935684474341,5.410291746184629e-06,5.474578773900257e-06,0.00048215332304712223
